state,county,state_code,county_code,date,aqi,category,defining_parameter,defining_site,num_sites
Texas,Dallas,48,113,1/1/18,33,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,1/2/18,26,Good,Ozone,48-113-0087,6
Texas,Dallas,48,113,1/3/18,41,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,1/4/18,53,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,1/5/18,53,Moderate,PM2.5,48-113-0050,5
Texas,Dallas,48,113,1/6/18,48,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,1/7/18,34,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,1/8/18,41,Good,PM2.5,48-113-0050,6
Texas,Dallas,48,113,1/9/18,55,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,1/10/18,43,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,1/11/18,29,Good,Ozone,48-113-0075,5
Texas,Dallas,48,113,1/12/18,27,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,1/13/18,31,Good,NO2,48-113-0087,4
Texas,Dallas,48,113,1/14/18,40,Good,PM2.5,48-113-0069,6
Texas,Dallas,48,113,1/15/18,32,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,1/16/18,30,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,1/17/18,53,Moderate,PM2.5,48-113-0069,5
Texas,Dallas,48,113,1/18/18,59,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,1/19/18,41,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,1/20/18,30,Good,Ozone,48-113-0075,6
Texas,Dallas,48,113,1/21/18,31,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,1/22/18,35,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,1/23/18,42,Good,NO2,48-113-1067,5
Texas,Dallas,48,113,1/24/18,54,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,1/25/18,45,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,1/26/18,44,Good,PM2.5,48-113-0069,6
Texas,Dallas,48,113,1/27/18,29,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,1/28/18,36,Good,NO2,48-113-1067,4
Texas,Dallas,48,113,1/29/18,37,Good,PM2.5,48-113-0069,5
Texas,Dallas,48,113,1/30/18,32,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,1/31/18,38,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,2/1/18,36,Good,PM10,48-113-0050,6
Texas,Dallas,48,113,2/2/18,30,Good,Ozone,48-113-0069,4
Texas,Dallas,48,113,2/3/18,48,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,2/4/18,45,Good,PM2.5,48-113-0050,5
Texas,Dallas,48,113,2/5/18,51,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,2/6/18,62,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,2/7/18,56,Moderate,PM2.5,48-113-0069,6
Texas,Dallas,48,113,2/8/18,53,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,2/9/18,40,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,2/10/18,59,Moderate,PM2.5,48-113-0069,5
Texas,Dallas,48,113,2/11/18,43,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,2/12/18,36,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,2/13/18,49,Good,PM2.5,48-113-0050,6
Texas,Dallas,48,113,2/14/18,43,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,2/15/18,29,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,2/16/18,30,Good,PM2.5,48-113-0069,5
Texas,Dallas,48,113,2/17/18,38,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,2/18/18,36,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,2/19/18,33,Good,PM2.5,48-113-0069,6
Texas,Dallas,48,113,2/20/18,23,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,2/21/18,20,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,2/22/18,25,Good,PM2.5,48-113-0069,5
Texas,Dallas,48,113,2/23/18,27,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,2/24/18,30,Good,NO2,48-113-1067,4
Texas,Dallas,48,113,2/25/18,38,Good,Ozone,48-113-0087,6
Texas,Dallas,48,113,2/26/18,42,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,2/27/18,37,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,2/28/18,34,Good,PM2.5,48-113-0050,5
Texas,Dallas,48,113,3/1/18,37,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,3/2/18,44,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,3/3/18,44,Good,Ozone,48-113-0087,6
Texas,Dallas,48,113,3/4/18,51,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,3/5/18,47,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,3/6/18,43,Good,Ozone,48-113-0087,5
Texas,Dallas,48,113,3/7/18,44,Good,NO2,48-113-0069,4
Texas,Dallas,48,113,3/8/18,47,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,3/9/18,48,Good,Ozone,48-113-0087,6
Texas,Dallas,48,113,3/10/18,45,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,3/11/18,43,Good,Ozone,48-113-0069,4
Texas,Dallas,48,113,3/12/18,47,Good,PM2.5,48-113-0069,5
Texas,Dallas,48,113,3/13/18,69,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,3/14/18,70,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,3/15/18,67,Moderate,Ozone,48-113-0075,6
Texas,Dallas,48,113,3/16/18,48,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,3/17/18,37,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,3/18/18,37,Good,PM2.5,48-113-0069,5
Texas,Dallas,48,113,3/19/18,40,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,3/20/18,40,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,3/21/18,49,Good,Ozone,48-113-0075,6
Texas,Dallas,48,113,3/22/18,61,Moderate,Ozone,48-113-0075,4
Texas,Dallas,48,113,3/23/18,44,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,3/24/18,51,Moderate,Ozone,48-113-0087,5
Texas,Dallas,48,113,3/25/18,63,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,3/26/18,52,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,3/27/18,38,Good,Ozone,48-113-0087,6
Texas,Dallas,48,113,3/28/18,34,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,3/29/18,44,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,3/30/18,43,Good,PM2.5,48-113-0069,5
Texas,Dallas,48,113,3/31/18,50,Good,Ozone,48-113-0075,4
Texas,Dallas,48,113,4/1/18,40,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,4/2/18,48,Good,PM2.5,48-113-0069,6
Texas,Dallas,48,113,4/3/18,40,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,4/4/18,44,Good,Ozone,48-113-0087,4
Texas,Dallas,48,113,4/5/18,44,Good,Ozone,48-113-0087,5
Texas,Dallas,48,113,4/6/18,39,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,4/7/18,37,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,4/8/18,40,Good,Ozone,48-113-0087,6
Texas,Dallas,48,113,4/9/18,47,Good,PM2.5,48-113-0069,4
Texas,Dallas,48,113,4/10/18,68,Moderate,PM2.5,48-113-0069,4
Texas,Dallas,48,113,4/11/18,71,Moderate,Ozone,48-113-0075,5
